Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,3355,0,170,189.6612240705256,45.20783293992281,1342.8646670654416,10631.159165424739,13.929953941779369,0.0,170,200,220,230,280,340,600,850,1300,1300,1300
GET,/maps GetMap,9756,0,210,362.00129758644323,43.23345795273781,8128.914749948308,49752.50707257073,40.50689438330836,0.0,210,290,370,460,770,1200,1800,2300,5000,8100,8100
GET,/metrics,3296,0,170,199.64732468791942,39.033584063872695,1822.2096671815962,19078.308555825242,13.684986048317377,0.0,170,210,230,240,300,370,610,850,1500,1800,1800
GET,/tiles styled z=10,1368,0,180,204.81244609769493,49.64016587473452,1385.8907090034336,2309.2076023391814,5.679933529762795,0.0,180,210,230,250,300,380,730,880,1200,1400,1400
GET,/tiles styled z=4,1356,0,180,210.98653969144075,46.32941703312099,1709.8365831188858,5359.057522123894,5.630109551431542,0.0,180,210,230,250,310,440,810,1100,1400,1700,1700
GET,/tiles styled z=6,1933,0,180,205.11266261720291,45.59166613034904,1367.484207963571,3289.111226073461,8.025812509525938,0.0,180,210,230,250,310,380,710,840,1300,1400,1400
GET,/tiles styled z=8,1963,0,180,204.2122724724832,43.16308302804828,2226.509250001982,3004.314824248599,8.15037245535407,0.0,180,210,230,250,300,380,660,810,1400,2200,2200
GET,/tiles z=10,5196,0,180,203.10240755864262,36.575208185240626,1513.136292109266,2284.390685142417,21.57378261743237,0.0,180,210,230,250,300,380,660,860,1100,1500,1500
GET,/tiles z=4,5297,0,180,211.1823112846802,43.29829104244709,2473.990499973297,5466.790636209175,21.993134435053747,0.0,180,210,240,250,320,440,750,920,1500,2500,2500
GET,/tiles z=6,7828,0,180,205.26503790620862,40.081166895106435,2248.3186670579016,3258.7929228410835,32.50184186475377,0.0,180,210,230,250,300,380,650,820,1400,2200,2200
GET,/tiles z=8,7771,0,180,205.8680092333082,40.81712500192225,1978.9124999660999,3166.6270750225194,32.26517796768032,0.0,180,210,230,250,300,370,660,860,1500,2000,2000
GET,/tiles/collections,3218,0,170,196.75832099065352,38.73570798896253,1298.1101251207292,10429.0,13.361130189164236,0.0,170,200,220,240,290,360,600,780,1200,1300,1300
GET,/wms GetCapabilities,3262,0,180,212.01448258651212,42.32958308421075,3739.651790820062,100580.23973022685,13.543818109712161,0.0,180,210,230,250,300,400,790,1100,2200,3700,3700
GET,/wms GetLegendGraphic,3237,0,180,200.81775740229494,37.264666985720396,1699.7798751108348,2693.6966326845845,13.440018154855386,0.0,180,200,230,240,300,380,690,830,1300,1700,1700
GET,/wms GetMap CRS:84,9850,0,200,346.80876732272037,42.67383390106261,11033.694250043482,44741.99522842639,40.897182213569835,0.0,200,260,330,410,720,1100,1800,2300,5100,11000,11000
GET,/wms GetMap EPSG:3857,32386,0,320,754.7569844932697,38.900291081517935,24737.187333172187,140465.9048971778,134.4666135196622,0.0,320,550,780,990,1800,2800,4700,6200,13000,23000,25000
GET,/wms GetMap EPSG:4326,6494,0,240,473.57059926809103,43.05420885793865,10659.039082936943,74882.89929165384,26.963076273596194,0.0,240,350,490,600,1100,1700,2800,3400,6700,11000,11000
,Aggregated,107566,0,200,413.5139007533065,36.575208185240626,24737.187333172187,60837.63488462897,446.61383776495967,0.0,200,260,330,420,830,1400,2600,3800,9800,18000,25000
