Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,241,0,54,66.57299081624883,26.02891600690782,206.62233303301036,10329.439834024895,2.019870158542982,0.0,54,61,71,84,120,150,190,190,210,210,210
GET,/maps GetMap,740,0,130,158.26946551521385,31.229333020746708,1055.0171248614788,46256.16216216216,6.202090943244011,0.0,130,180,210,230,290,350,420,550,1100,1100,1100
GET,/metrics,265,0,56,71.26800080515304,34.70191708765924,464.2329169437289,19047.396226415094,2.2210190539995445,0.0,56,63,72,86,120,150,170,220,460,460,460
GET,/tiles styled z=10,121,0,59,72.97041085510214,34.617792116478086,193.3310830499977,2341.4214876033056,1.0141256812601693,0.0,59,74,85,97,120,160,180,190,190,190,190
GET,/tiles styled z=4,100,0,63,80.8099579019472,34.36845913529396,310.2943329140544,6914.71,0.8381203977356771,0.0,64,88,100,110,140,170,200,310,310,310,310
GET,/tiles styled z=6,131,0,59,77.14948916935738,31.63158311508596,561.1868752166629,3395.7862595419847,1.097937721033737,0.0,59,72,94,110,130,150,180,180,560,560,560
GET,/tiles styled z=8,148,0,62,76.75396063132212,37.98545803874731,453.3553330693394,3117.4324324324325,1.2404181886488022,0.0,62,71,91,100,130,150,190,200,450,450,450
GET,/tiles z=10,408,0,59,73.41034671088553,31.26804204657674,503.5565420985222,2265.595588235294,3.4195312227615626,0.0,59,68,81,90,130,160,180,210,500,500,500
GET,/tiles z=4,442,0,62,80.84573019643597,31.298458110541105,542.0455830171704,5968.126696832579,3.7044921579916927,0.0,62,82,100,110,140,170,210,260,540,540,540
GET,/tiles z=6,608,0,60,76.46879639344805,28.420374961569905,555.2125829271972,3386.847039473684,5.095772018232917,0.0,60,73,88,100,140,160,190,220,560,560,560
GET,/tiles z=8,598,0,61,76.80484671402648,30.73154203593731,578.195541864261,3301.2725752508363,5.011959978459349,0.0,61,72,88,100,140,160,210,230,580,580,580
GET,/tiles/collections,263,0,54,70.41864591462983,31.254249857738614,291.1178329959512,10429.0,2.204256646044831,0.0,54,60,71,87,140,170,200,210,290,290,290
GET,/wms GetCapabilities,263,0,56,71.01518916277774,34.725625067949295,371.73233390785754,100164.42205323195,2.204256646044831,0.0,56,62,71,80,130,160,190,210,370,370,370
GET,/wms GetLegendGraphic,260,0,56,74.17425690756107,35.50116694532335,505.6388338562101,2688.2384615384617,2.1791130341127607,0.0,56,64,78,94,140,170,190,230,510,510,510
GET,/wms GetMap CRS:84,786,0,120,157.2102596453076,29.909542063251138,816.111917141825,48876.685750636134,6.587626326202423,0.0,120,170,200,230,310,400,530,600,820,820,820
GET,/wms GetMap EPSG:3857,2495,0,200,271.4153388805337,33.32608309574425,2530.0081667955965,140811.5627254509,20.911103923505145,0.0,200,270,340,380,570,750,1000,1200,2300,2500,2500
GET,/wms GetMap EPSG:4326,532,0,140,181.90409359697225,34.52237485907972,1421.9005410559475,67809.00187969925,4.4588005159538024,0.0,140,190,220,240,330,450,610,800,1400,1400,1400
,Aggregated,8401,0,97,155.04553967262828,26.02891600690782,2530.0081667955965,60331.447446732534,70.41049461377423,0.0,97,150,180,210,330,480,700,850,1800,2500,2500
